Name,Slug,Event Type,Start Date/Time,End Date/Time,Location,Description,Short Description,Image,RSVP Link,Luma ID,_source_url
Lunch and Learn: Adfin x Fineo,lunch-and-learn-adfin-x-fineo,,2026-06-24T11:00:00Z,2026-06-24T13:00:00Z,"Rplus, Reading","<p>Your clients are navigating a lot right now, and they're looking to you to help them make sense of it.</p><p>On June 24th, Adfin and Fineo are bringing together a small group of accountants in Reading to dig into exactly that.  <br>  <br>Fi from Fineo will open with a practical masterclass on shifting client expectations and how you can deliver for them at scale. Followed by a group lunch and discussion.</p><p>At the R+ Building, Reading. 20–30 seats.</p><p>Pop Wed 24th June lunchtime in your diary now</p>","Your clients are navigating a lot right now, and they're looking to you to help them make sense of it. On June 24th, Adfin and Fineo are bringing together a…",https://cdn.prod.website-files.com/663944fa0339e7ff8f65838d/6a2c26804fa3b13d580d9a3f_8afe6ce4-edc5-4be7-b14a-191998e25228.png,https://luma.com/j01rfhx5,evt-EzNahVrUaQ90GQF,
Adfin x FreshPay | Adfin Tea Party 2026,adfin-x-freshpay-adfin-tea-party-2026,Tea Party,2026-06-30T14:00:00Z,2026-06-30T16:00:00Z,"The Residence Bar & Kitchen, Milton Keynes","<p><strong>From credit control to payroll: building a more profitable practice</strong></p><p>Join Adfin and FreshPay for an afternoon session designed to help accountants tighten up two areas that directly hit the bottom line: getting paid faster and making payroll work harder for your firm.</p><p><strong>On the agenda:</strong></p><p><em>   Credit control playbook — Adfin<br></em>   Making payroll profitable — FreshPay</p><p>Each session will be followed by an honest conversation about what's actually working (and what isn't) in firms like yours.</p><p>📅 30th June, 3–5pm  <br>📍 The Residence Milton Keynes  <br>  <br>P.S. We're also running a raffle this year, with <strong>£500 in Virgin Experience vouchers</strong> plus a year's supply of tea up for grabs. All the details (and form to enter!) can be found <a href=""https://2e2k9o.share-eu1.hsforms.com/2pPkJqeN_TJqqPCpetVXA-A"">here</a>. Every entry counts, so be sure to share with your firm for more chances to win.</p>",From credit control to payroll: building a more profitable practice Join Adfin and FreshPay for an afternoon session designed to help accountants tighten up…,https://cdn.prod.website-files.com/663944fa0339e7ff8f65838d/6a2c26823026b15191a17e78_e7ff8b23-4d72-48a8-9943-feabcaf2e231.png,https://luma.com/2n3j8k43,evt-DvBWQkaHOMXJGtr,
Adfin x Socket | Adfin Tea Party 2026,adfin-x-socket-adfin-tea-party-2026,Tea Party,2026-07-02T14:30:00Z,2026-07-02T16:30:00Z,"FD Works | Bristol accountants and bookkeepers, Wick","<p><strong>Adfin × Socket | Adfin's Travelling Tea Party 2026</strong></p><p>We're bringing Bristol accounting firms together for an afternoon look at how Adfin and Socket work side by side, helping you get paid faster and cut the admin that eats up your day.</p><p>Plus a chance to meet other accountants in Bristol who are building smarter firms.</p><p>Tea and drinks on us.</p><p>📅 2nd July, 3:30–5:30pm  <br>📍 FD Works, Bristol  <br>  <br>P.S. We're also running a Tea Party raffle this year, with <strong>£500 in Virgin Experience vouchers</strong> plus a year's supply of tea up for grabs. All the details (and form to enter!) can be found <a href=""https://2e2k9o.share-eu1.hsforms.com/2pPkJqeN_TJqqPCpetVXA-A"">here</a>. Every entry counts, so be sure to share with your firm for more chances to win.</p>",Adfin × Socket | Adfin's Travelling Tea Party 2026 We're bringing Bristol accounting firms together for an afternoon look at how Adfin and Socket work side…,https://cdn.prod.website-files.com/663944fa0339e7ff8f65838d/6a2c26855c7431ffc6c5e3f3_f127da1c-74fd-4d14-a8bc-5f5bef66db4f.png,https://luma.com/zafly8tv,evt-cyBYW9cMOHf8fHS,
Adfin x TMF | Adfin Tea Party 2026,adfin-x-tmf-adfin-tea-party-2026,Tea Party,2026-07-03T11:00:00Z,2026-07-03T13:00:00Z,"WoodKraft Cheltenham, Cheltenham","<p><strong>What does an AI-ready firm look like?</strong></p><p>Join Adfin and The Modern Firm for lunch and an open conversation about what AI actually looks like inside a professional services business.  <br>  <br>Where to place your bets, what to ignore, and how to translate AI ambition into something your team can run with.</p><p>📅 3rd July, 12–2pm  <br>📍 WoodKraft, Cheltenham</p><p>P.S. We're also running a Tea Party raffle this year, with <strong>£500 in Virgin Experience vouchers</strong> plus a year's supply of tea up for grabs. All the details (and form to enter!) can be found <a href=""https://2e2k9o.share-eu1.hsforms.com/2pPkJqeN_TJqqPCpetVXA-A"">here</a>. Every entry counts, so be sure to share with your firm for more chances to win.</p>",What does an AI-ready firm look like? Join Adfin and The Modern Firm for lunch and an open conversation about what AI actually looks like inside a…,https://cdn.prod.website-files.com/663944fa0339e7ff8f65838d/6a2c26870a53a5f1ea3c09e7_814396d2-ad03-44f5-abca-6eecf937d95e.png,https://luma.com/nj9c5pp9,evt-QO0PkkmXaspdA7I,
Xerocon Breakfast - Adfin x Socket,xerocon-breakfast-adfin-x-socket,,2026-07-08T07:30:00Z,2026-07-08T09:00:00Z,"the Design Museum, London","<p>Jonathan Gaunt from Socket and I are putting together a small, invite-only breakfast on the morning of Day 1 at Xerocon, and we’d love for you to join us.</p><p>You'll get an exclusive guided tour of the Design Museum, as well as the opportunity to connect with founders and senior folks from other accounting firms.</p><p><strong>📅 The Plan is:</strong></p><p><em>   <strong>8:30</strong> — Arrival, breakfast &amp; networking<br></em>   <strong>9:00</strong> — Guided tour of the collection<br>*   <strong>9:30</strong> — Head to Xerocon</p><p><strong>💷 Free to attend</strong></p><p>_(Spaces are limited — grab your spot early!)_  <br>  <br>Hope to see you there,  <br>Tom at Adfin</p>","Jonathan Gaunt from Socket and I are putting together a small, invite-only breakfast on the morning of Day 1 at Xerocon, and we’d love for you to join us.…",https://cdn.prod.website-files.com/663944fa0339e7ff8f65838d/6a2c26894fa3b13d580da163_4da7c5d8-c784-4bfc-8c2f-8a4b2563f4b7.png,https://luma.com/xa8u9aho,evt-IsCWUAvP2MkuLLh,
Adfin x Bev Flanagan | Adfin Tea Party 2026,adfin-x-bev-flanagan-adfin-tea-party-2026,Tea Party,2026-07-10T07:30:00Z,2026-07-10T10:00:00Z,"Tamper Coffee, Sheffield","<p><strong>Brunch &amp; a Fireside Chat | Adfin × Bev Flanagan Financial</strong></p><p>What does great credit control actually look like in practice?</p><p>Join us at Tamper Café for brunch and an honest conversation with Bev Flanagan.</p><p>Bev knows better than most what it takes to run a practice that's financially healthy and built to last. We'll be sitting down with her for a fireside chat on credit control: what works, what doesn't, and how getting it right changes everything for your firm.</p><p>📅 Friday 10th July  <br>📍 Tamper Café, Sheffield  <br>  <br>P.S. We're also running a Tea Party raffle this year, with <strong>£500 in Virgin Experience vouchers</strong> plus a year's supply of tea up for grabs. All the details (and form to enter!) can be found <a href=""https://2e2k9o.share-eu1.hsforms.com/2pPkJqeN_TJqqPCpetVXA-A"">here</a>. Every entry counts, so be sure to share with your firm for more chances to win.</p>",Brunch & a Fireside Chat | Adfin × Bev Flanagan Financial What does great credit control actually look like in practice? Join us at Tamper Café for brunch…,https://cdn.prod.website-files.com/663944fa0339e7ff8f65838d/6a2c268c10833651bc32bf9c_65a2a64c-34a3-4a51-a735-21f1de95fffc.png,https://luma.com/qqbn865s,evt-mMhtwTj9pSWJoUH,
Adfin x Actionstep | Adfin Tea Party 2026,adfin-x-actionstep-adfin-tea-party-2026,Tea Party,2026-07-10T15:00:00Z,2026-07-10T19:00:00Z,"Lost & Found Leeds Club, Leeds","<p><strong>Adfin &amp; Actionstep - Leeds post work social.</strong>  <br>  <br>As part of our 2026 Tea Party Tour we'll be stopping in Leeds and would love you to join us for post-work drinks on a (hopefully) sunny Friday.</p><p>📅 July 10th | 4.00-8.00 pm (arrive as suits!)  <br>  <br>You'll be able to learn more about how Actionstep and Adfin work together, and meet your peers based in/around Leeds.  <br>  <br>P.S. We're also running a Tea Party raffle this year, with <strong>£500 in Virgin Experience vouchers</strong> plus a year's supply of tea up for grabs. All the details (and form to enter!) can be found <a href=""https://2e2k9o.share-eu1.hsforms.com/2pPkJqeN_TJqqPCpetVXA-A"">here</a>. Every entry counts, so be sure to share with your firm for more chances to win.</p>",Adfin & Actionstep - Leeds post work social. As part of our 2026 Tea Party Tour we'll be stopping in Leeds and would love you to join us for post-work…,https://cdn.prod.website-files.com/663944fa0339e7ff8f65838d/6a2c268ec1ed4cbb44010491_16a99662-29bd-418b-a90d-d9275d5efe9d.png,https://luma.com/z22ze5dt,evt-IySTneBCEcDZSN5,
Final Stop | Adfin Tea Party 2026,final-stop-adfin-tea-party-2026,Tea Party,2026-07-17T15:30:00Z,2026-07-17T19:00:00Z,"Tea House Theatre, London",,"The Grand Finale to our 2026 Tea Party Tour. Info TBD. Sign up to guarantee your space. P.S. We're also running a Tea Party raffle this year, with £500 in…",https://cdn.prod.website-files.com/663944fa0339e7ff8f65838d/6a2c2690aae37132ebc4341a_57b7b845-56d7-4313-b7c8-1f02a1184eda.png,https://luma.com/4wt9suhy,evt-v11gFfWnhukzLM9,
Manchesterism? The accounting perspective,manchesterism-the-accounting-perspective,,2026-09-15T07:00:00Z,2026-09-15T08:30:00Z,"Haunt MCR, Manchester",,,https://cdn.prod.website-files.com/663944fa0339e7ff8f65838d/6a68ba95bd8cb3a0fa9640ad_049027aa-7fad-439e-ae3f-c3481c9dc975.png,https://luma.com/xyusf1fj,evt-9np6E4TrKFAdlrl,
What pricing levers can MSPs pull to grow? | Pre-MSS Dinner,what-pricing-levers-can-msps-pull-to-grow-pre-mss-dinner,Dinner,2026-09-08T18:00:00Z,2026-09-08T21:00:00Z,"Canto Corvino, London",,,https://cdn.prod.website-files.com/663944fa0339e7ff8f65838d/6a6a0c1d9d8c5f39b6474afd_f6d27415-a797-4dd1-9e74-f5d8904549e4.png,https://luma.com/asipmorw,evt-CxLz8ffwGHFribR,
