Case Study,Slug,Placement,Value,Label
Gascoynes,gascoynes-accountancy,Hero 1,10%,Reduction in the debtors over 12 months
Gascoynes,gascoynes-accountancy,Hero 2,8%,Turnover growth over the same period
Gascoynes,gascoynes-accountancy,Hero 3,39%,Reduction in late payers
Gascoynes,gascoynes-accountancy,Results,39%,fewer late payers since switching to Adfin
Jumpstart,jumpstart,Hero 1,73%,"Fall in average days late, from 23.7 to 6.4"
Jumpstart,jumpstart,Hero 2,£50k,Recovered from invoices already overdue at onboarding
Jumpstart,jumpstart,Hero 3,4x,"Invoice volume since adoption, with no increase in chasing time"
Jumpstart,jumpstart,Results,-73%,Decrease in average days paid late since Adfin adoption
Helpbox,helpbox-uk,Hero 1,58%,Reduction in payment collection costs
Helpbox,helpbox-uk,Hero 2,4 > 1,Tools consolidated into a single platform
Helpbox,helpbox-uk,Hero 3,3x,Increase in invoices paid on time
Helpbox,helpbox-uk,Results,58%,Reduction in payment costs
Pillow May,pillow-may,Hero 1,45%,Invoices now paid on the same day
Pillow May,pillow-may,Hero 2,27%,Invoices paid within the next 2 days
Pillow May,pillow-may,Hero 3,6x,Lower overdue invoice rate than the UK average.
Pillow May,pillow-may,Results,45%,Invoices now paid on the same day.
Nuvo,nuvo-accountancy,Hero 1,"2,500",Direct debit mandates migrated in Nuvo's first Adfin rollout
Nuvo,nuvo-accountancy,Hero 2,45,"Average group debtor days, against a 66-day industry benchmark"
Nuvo,nuvo-accountancy,Hero 3,24,"Average work-in-progress days, against a 34-day industry benchmark"
Nuvo,nuvo-accountancy,Results,45 days,"Nuvo's group debtor days, vs a 66-day industry benchmark, with a target of 30 days."
