Role Title,Slug,Location,Employment Type,Work Arrangement,Summary,The Role,About You,Hiring Process,The Offer,Application Email,_source_url
AI Engineer,ai-software-engineer,"Iasi, Romania",,Hybrid,"We are looking for a talented AI Software Engineer to develop and integrate agentic solutions that help businesses get paid faster and more efficiently. You will work across the stack, fine-tuning models, building AI agents for financial automation, building products and delivering seamless user experiences in a fast-paced fintech startup backed by top investors.","<p>We're looking for someone to:</p><ul><li>Build <strong>end to end solutions</strong> - this role is not limited at interacting with models, but involves coding in backend/frontend to deliver full functionality to users</li><li><strong>Build AI agents</strong> to intelligently automate finance workflows, suck as bookkeeping, credit control and many others</li><li>Integrate observability solutions to ensure reliability, cost efficiency and high quality</li></ul>","<p>Our team is our superpower and we hire only the very best. There is no right or wrong candidate, but from our experience you are likely to have:</p><ul><li><strong>Experience building AI agents</strong>. Experience building AI&nbsp;agents and running them in production</li><li><strong>5+ years</strong> of experience in backend development at a tech-forward, product-driven company</li><li><strong>Great software design skills</strong>. Amazing at designing the most high performant, scalable and maintainable software solutions</li><li><strong>End-to-end ownership</strong>. Ability to thrive on a high level of ambiguity, autonomy and responsibility. At Adfin we believe strongly in full ownership: from ideation, development, full, testing, releases and operations</li><li><strong>Quality first mindset</strong>, including experience in automating tests</li><li>Experience with Java is nice to have, however we are open to other languages as long as you are open to learn Java</li><li>Keen to <strong>grow and learn for the long term</strong> with a talented group of fellow fintech leaders - and be there at the beginning of the next major global payments success story</li></ul>","<p>We try and move fast with hiring whilst giving you and us the chance to make a proper assessment:</p><ul><li>Initial intros to ensure this is right on both sides (30 mins)</li><li>Technical interview (2 x 1h)<br><ul><li>Problem solving mindset - live coding in your favourite programming language</li><li>Architecture - live design (build diagrams, flows) for a complex problem</li></ul></li><li>Final board interview (30 mins)</li><li>References check on both end - we reference you, you reference us</li></ul><p>We always give feedback and try to be as respectful of your time as possible.</p>","<ul><li><strong>Competitive salary:</strong> we pay what it takes to get the best people, but of course at first you can probably earn more in a corporate (but you’ll learn 5% as much and have 1% as much fun!).</li><li>‍<strong>Equity:</strong> everyone at Adfin has meaningful equity, and on terms which are generally more favourable than most startups, which we can discuss with you.<strong>‍</strong></li><li><strong>Office:</strong> we value face-to-face collaboration. We are flexible we expect you to spend a portion (2-3 days) of our time in the office near Buckingham Palace (with an exceptional sandwich shop and pub just round the corner and yes - our very own ping pong table).</li></ul><p>Check out our extensive list of values, benefits and team at <a href=""https://adfin.com/careers"">adfin.com/careers</a></p>",careers@adfin.com,https://adfin.com/open-positions/ai-software-engineer
Commercial Associate(s),commercial-associate,"London, UK",Full Time,,Adfin is expanding aggressively and always looking for the very best commercial talent to join the team.,<p>An amazing Commercial Associate(s)&nbsp;that will help drive our super fast growth. This is a great opportunity for the most ambitious sales people to get unique experience building a hyperscaling business. </p>,"<p>Our team is our superpower and we hire only the very best. There is no right or wrong candidate, but from our experience you are likely to have:</p><p>- Extroverted by nature. This sort of role involves interacting with people a lot, and that is always easier if you like people and have got a sense of humour (if you say so yourself).</p><p>- Amazing intuition. You don’t need to be told what to do - and might not even like being told what to do very much. You can read a situation, get it, and get it done.</p><p>- Incredible speed of execution. You are super efficient, blasting through tasks fast and with very high quality. Sometimes you probably get it wrong, but you move so fast you can quickly put it right.</p><p>- Very ambitious. We don’t work hard for the sake of it at all - we prefer to work efficiently - but you are driven and want to get somewhere so do whatever it takes to get the job done. You might want to more into a less commercial role in the future, you might want to be CRO - we don’t care as long as you have ambiton!</p><p>- In it for the long haul. Of course, if we do a bad job you’ll probably leave -but you’d like to hope you’ll be with us for all the way and be doing a key senior job or maybe even running the company one day.</p>",<p>We try and move fast with hiring whilst giving you and us the chance to make a proper assessment:</p><p>- Initial intros to ensure this is right on both sides (20 mins)</p><p>- Screening interview (45 mins)</p><p>- Light task-based interview (45 mins)</p><p>- Final board interview (30 mins)</p><p>We always give feedback and try to be as respectful of your time as possible.</p>,"<p>Competitive salary: we pay what it takes to get the best people, but of course at first you can probably earn more in a corporate (but you’ll learn 5% as much and have 1% as much fun!).</p><p>Equity: everyone at Adfin has meaningful equity, and on terms which are generally more favourable than most startups, which we can discuss with you.</p><p>Office: we value face-to-face collaboration. We are flexible but if not travelling, work full time in the office near Buckingham Palace (with an exceptional sandwich shop and pub just round the corner and yes - our very own ping pong table).</p><p>Check out our extensive list of values, benefits and team at adfin.com/joinadfin.</p>",hello@adfin.com,https://adfin.com/open-positions/commercial-associate
DevOps Engineer,devops-engineer,"Iasi, Romania",,Hybrid,"We are looking for a talented DevOps Engineer who can own and shape our infrastructure, tooling, and automation as we scale. You’ll be joining early and will have the opportunity to set the foundation for everything from how we run infrastructure, to how we handle reliability, releases, and compliance automation.","<li id="""">Architect and own our AWS infrastructure, ensuring it is secure, resilient, and scalable</li><li id="""">Automate infrastructure provisioning and operations</li><li id="""">Define and implement robust monitoring, alerting, and incident response processes</li><li id="""">Build and manage our CI/CD pipelines and release automation</li><li id="""">Own infrastructure and tooling requirements for our Electronic Money License and ISO27001/SOC2 certifications — and make sure they don’t slow us down</li><li id="""">Monitor and optimise cloud costs to ensure efficient usage</li><li id="""">Collaborate closely with engineers and product to move fast, safely</li><li id="""">Conduct pentests, security initiatives</li><li id="""">Ensure we use the best and most secure equipment and tooling</li>","<p id="""">In short, someone that likes to get hands dirty on everything related to automation, infrastructure and efficiency</p><p id="""">Our team is our superpower and we hire only the very best. There is no perfect profile, but from our experience, you are likely to have:</p><ul id=""""><li id=""""><strong id="""">4+ years experience in a DevOps or SRE role</strong>, in a <strong>fast-paced product company</strong></li><li id=""""><strong id="""">End-to-end ownership</strong>. Ability to thrive on a high level of ambiguity, autonomy and responsibility. At Adfin we believe strongly in full ownership, from ideation, development, full, testing, releases and operations</li><li id="""">Strong experience with AWS architecture and services</li><li id="""">Solid knowledge of Infrastructure as Code (Terraform)</li><li id="""">Experience building CI/CD pipelines and automation workflows (e.g., GitLab)</li><li id="""">Familiarity with modern observability tooling (Datadog etc.)</li><li id="""">A passion for automation and a “you build it, you run it” mindset</li><li id="""">Bonus: Experience working with security frameworks like ISO27001, or in regulated environments</li></ul>","<ul id=""""><li id="""">We try and move fast with hiring whilst giving you and us the chance to make a proper assessment:<ul id=""""><li id="""">Initial intros to ensure this is right on both sides (30 mins)</li><li id="""">Technical interview (2 x 45 mins), hands on coding on frontend and problem solving in your favourite IDE/environment</li><li id="""">Final board interview (30 mins)</li><li id="""">References check on both end - we reference you, you reference us</li></ul></li><li id="""">We always give feedback and try to be as respectful of your time as possible.</li></ul>","<ul id=""""><li id="""">Competitive salary: we pay what it takes to get the best people, but of course at first you can probably earn more in a corporate (but learn 5% as much!).</li><li id="""">Equity: everyone at Adfin has meaningful equity, and on terms which are generally more favourable than most startups, which we can discuss with you.</li><li id="""">Office: we value face-to-face collaboration. We are flexible but if not travelling, try to spend a portion (1-2 days) of our time in the office at Aria (near Palas Campus)</li></ul>",careers@adfin.com,
Founders Associate,founders-associate,"London, UK",,Hybrid,"We are looking for a Founders Associate to work closely with Adfin’s leadership on high-impact projects across strategy, operations, sales, and marketing. This role is perfect for an ambitious, fast-moving generalist eager to gain hands-on experience in scaling a fintech startup backed by top investors.","<p>An amazing <strong id="""">Founders Associate</strong> that<strong id=""""> </strong>will work closely with the Founders on everything and anything required to make the business successful. This is a great opportunity for a skilled generalist, sales or marketing-oriented person to get unique experience into building a business, with exposure to the elite of global investors.</p>","<p id="""">Our team is our superpower and we hire only the very best. There is no right or wrong candidate, but from our experience you are likely to have:</p><ul id=""""><li id=""""><strong id="""">Amazing intuition.</strong> You don’t need to be told what to do - and might not even like being told what to do very much. You can read a situation, get it, and get it done.</li><li id=""""><strong id="""">Incredible speed of execution.</strong> You are an efficiency machine, blasting through tasks fast and with very high quality. Sometimes you probably get it wrong, but you move so fast you can quickly put it right.</li><li id=""""><strong id="""">Pretty good fun.</strong> This sort of role involves interacting with people a lot, and that is always easier if you’ve got a sense of humour (if you say so yourself).</li><li id=""""><strong id="""">Good eye for detail.</strong> Doing high quality work comes naturally to you. The fact that this bullet doesn’t have full stop and the others do might annoy you slightly, even though you know it’s ridiculous</li><li id=""""><strong id="""">Very ambitious.</strong> We don’t work hard for the sake of it at all - we prefer to work efficiently - but you are driven and want to get somewhere so do whatever it takes to get the job done.</li><li id=""""><strong id="""">A bit creative.</strong> You might not be an artist, but you can have the odd crazy idea and look at things from a unique perspective others might miss.</li><li id=""""><strong id="""">In it for the long haul.</strong> Of course, if we do a bad job you’ll probably leave - but you’d like to hope you’ll be with us for all the way and be doing a key senior job or maybe even running the company one day.</li></ul><p id="""">‍</p>","<ul id=""""><li id="""">We try and move fast with hiring whilst giving you and us the chance to make a proper assessment:<ul id=""""><li id="""">Initial intros to ensure this is right on both sides (30 mins)</li><li id="""">Screening interview (45 mins)</li><li id="""">Light task-based interview (45 mins)</li><li id="""">Final board interview (30 mins)</li></ul></li><li id="""">We always give feedback and try to be as respectful of your time as possible.</li></ul><p>‍</p>","<ul id=""""><li id="""">Competitive salary: we pay what it takes to get the best people, but of course at first you can probably earn more in a corporate (but learn 5% as much!).</li><li id="""">Equity: everyone at Adfin has meaningful equity, and on terms which are generally more favourable than most startups, which we can discuss with you.</li><li id="""">Office: we value face-to-face collaboration. We are flexible but if not travelling, try to spend the majority (4+ days) of our time in the office near Buckingham Palace (with an exceptional sandwich shop and pub just round the corner and yes - our very own ping pong table).</li></ul>",careers@adfin.com,
Marketing Executive,marketing-executive,"London, UK",Full Time,,"We’re hiring a Marketing Executive to support the growth of Adfin’s marketing function, with a strong focus on content. This role is ideal for someone early in their marketing career who wants to build strong creative and marketing skills while seeing their work make a real impact at a fast-growing startup. You’ll gain exposure to multiple areas of marketing, including content creation, social media, campaigns, events, and performance marketing, helping to build Adfin’s brand and pipeline as the company scales.","<p>We're looking for someone to:</p><ul><li>Produce and manage content across multiple channels and formats — from social posts and video content to webinars and thought leadership</li><li>Bring customer stories to life by supporting interviews, drafting case studies, and repurposing them across channels</li><li>Create design assets for social and sales enablement</li><li>Help manage the company website and marketing assets</li><li>Support event planning, promotion, and execution — including exhibitions, lunch events, the annual Adfin tea party and other creative events</li><li>Contribute to broader marketing initiatives — from paid and postal campaigns to partner co-marketing and beyond</li></ul>","<p>You'll be early in your career (1–2 years' experience), and may have already worked in a marketing, content, or creative team — or you may have had a more generalist role, but are looking to build on your creative and marketing skills and have the work to show it (internships, graduate roles, and university projects all count.</p><p>‍</p><p>Either way, you have strong writing skills, sharp attention to detail, and a highly analytical mind. You're organised and reliable, comfortable juggling multiple tasks and picking up new tools. Experience in B2B, fintech, or startup environments is a bonus.</p><p>‍</p><p>Beyond the basics, the people who thrive here tend to share a few things in common: they're extroverted and good with people; they have sharp intuition and move fast, producing high-quality work, and course-correct quickly when needed. They're very ambitious — whether they want a direct upwards route or otherwise. Most importantly, they're in it for the long haul, with real aspirations to grow into a senior role and make a lasting impact.</p>",<p>We try and move fast with hiring whilst giving you and us the chance to make a proper assessment:</p><ul><li>Initial screening interview to ensure this is right on both sides (30 mins)</li><li>Light task-based interview (45 mins)</li><li>Final board interview (30 mins)</li></ul><p>We always give feedback and try to be as respectful of your time as possible.</p>,"<ul><li><strong>Competitive salary:</strong> we pay what it takes to get the best people, but of course at first you can probably earn more in a corporate (but you’ll learn 5% as much and have 1% as much fun!).</li><li>‍<strong>Equity:</strong> everyone at Adfin has meaningful equity, and on terms which are generally more favourable than most startups, which we can discuss with you.<strong>‍</strong></li><li><strong>Office:</strong> we value face-to-face collaboration. We are flexible but if not travelling, work full time in the office near Buckingham Palace (with an exceptional sandwich shop and pub just round the corner and yes - our very own ping pong table).</li></ul><p>Check out our extensive list of values, benefits and team at <a href=""https://adfin.com/careers"">adfin.com/careers</a>.</p>",careers@adfin.com,
Software Engineer (Backend / Full-stack),software-engineer-backend-iasi,"Iasi, Romania",Full Time,Hybrid,"We are looking for a Software Engineer (Backend/Full-stack) to develop scalable, high-performance financial solutions that streamline business payments. You'll own critical product capabilities, collaborate cross-functionally, and deliver high-quality software in a fast-paced fintech startup backed by top investors.","<p>We're looking for someone to:<br></p><ul><li>Design, build, delivery and operate new capabilities and enhancements</li><li>Be part of cross-functional squads engaged to deliver the project on time, at a very high level of quality</li><li>Own a set of critical modukes in Adfin, such as Agentic workflows, Payments, Integrations or other areas.</li><li>Ensure great customer experience by taking the on-call shift rotation (usually 1 week every 2 months)</li><li>Work in a fast paced environment and grow your skills (tech and soft) super fast, every week</li><li>Understand how a business operates by collaborating closely with each function in the organisation, such as product, design, sales, support, marketing</li></ul>","<p>Our team is our superpower and we hire only the very best. There is no right or wrong candidate, but from our experience you are likely to have:</p><ul><li><strong>5+ years</strong> of experience in backend development (<strong>Java</strong>) at a tech-forward, product-driven company</li><li><strong>Great software design skills</strong>. Amazing at designing the most high performant, scalable and maintainable software solutions</li><li><strong>End-to-end ownership</strong>. Ability to thrive on a high level of ambiguity, autonomy and responsibility. At Adfin we believe strongly in full ownership: from ideation, development, full, testing, releases and operations</li><li><strong>Quality first mindset</strong>, including experience in automating tests</li><li>Keen to <strong>grow and learn for the long term</strong> with a talented group of fellow fintech leaders - and be there at the beginning of the next major payments success story</li></ul>","<p>We try and move fast with hiring whilst giving you and us the chance to make a proper assessment:</p><ul><li>Initial intros to ensure this is right on both sides (30 mins)</li><li>Technical interview (2 x 1h)<br><ul><li>Problem solving mindset - live coding in your favourite programming language</li><li>Architecture - live design (build diagrams, flows) for a complex problem</li></ul></li><li>Final board interview (30 mins)</li><li>References check on both end - we reference you, you reference us</li></ul><p>We always give feedback and try to be as respectful of your time as possible.</p>","<ul><li><strong>Competitive salary:</strong> we pay what it takes to get the best people, but of course at first you can probably earn more in a corporate (but you’ll learn 5% as much and have 1% as much fun!).</li><li>‍<strong>Equity:</strong> everyone at Adfin has meaningful equity, and on terms which are generally more favourable than most startups, which we can discuss with you.<strong>‍</strong></li><li><strong>Office:</strong> we value face-to-face collaboration. We are flexible but we expect you to spend a portion (2-3 days) of our time in the office at Aria (near Palas Campus)</li></ul><p>Check out our extensive list of values, benefits and team at <a href=""https://adfin.com/careers"">adfin.com/careers</a>.</p><p>‍</p><p>‍</p><p>‍</p>",careers@adfin.com,https://adfin.com/open-positions/software-engineer-backend-iasi
Tech lead,technical-lead-iasi,"Iasi, Romania",Full Time,,"We are looking for a Technical lead (Backend/Full-stack) to develop high-performance, scalable agentic financial solutions that simplify business payments. You'll take ownership of critical product features, lead projects and squads, collaborate cross-functionally, and build innovative fintech solutions in a fast-growing startup backed by top investors.","<p>We're looking for someone to:<br></p><ul><li>Architect, build, delivery and operate new capabilities and enhancements</li><li>Lead cross-functional squads engaged to deliver the project on time, at a very high level of quality</li><li>Own a set of critical modukes in Adfin, such as Agentic workflows, Payments, Integrations or other areas.</li><li>Ensure great customer experience by taking the on-call shift rotation (usually 1 week every 2 months)</li><li>Work in a fast paced environment and grow your skills (tech and soft) super fast, every week</li><li>Understand how a business operates by collaborating closely with each function in the organisation, such as product, design, sales, support, marketing</li></ul>","<p>Our team is our superpower and we hire only the very best. There is no right or wrong candidate, but from our experience you are likely to have:</p><ul><li><strong>10+ years</strong> of experience in backend development (<strong>Java</strong>) at a tech-forward, product-driven company</li><li><strong>Lead teams</strong>. Great at empowering and growing people around you (without babysitting!)</li><li><strong>Great software design skills</strong>. Amazing at designing the most high performant, scalable and maintainable software solutions</li><li><strong>End-to-end ownership</strong>. Ability to thrive on a high level of ambiguity, autonomy and responsibility. At Adfin we believe strongly in full ownership: from ideation, development, full, testing, releases and operations</li><li><strong>Quality first mindset</strong>, including experience in automating tests</li><li>Keen to <strong>grow and learn for the long term</strong> with a talented group of fellow fintech leaders - and be there at the beginning of the next major payments success story</li></ul>","<p>We try and move fast with hiring whilst giving you and us the chance to make a proper assessment:</p><ul><li>Initial intros to ensure this is right on both sides (30 mins)</li><li>Technical interview (2 x 1h)<br><ul><li>Problem solving mindset - live coding in your favourite programming language</li><li>Architecture - live design (build diagrams, flows) for a complex problem</li></ul></li><li>Final board interview (30 mins)</li><li>References check on both end - we reference you, you reference us</li></ul><p>We always give feedback and try to be as respectful of your time as possible.</p>","<ul><li><strong>Competitive salary:</strong> we pay what it takes to get the best people, but of course at first you can probably earn more in a corporate (but you’ll learn 5% as much and have 1% as much fun!).</li><li>‍<strong>Equity:</strong> everyone at Adfin has meaningful equity, and on terms which are generally more favourable than most startups, which we can discuss with you.<strong>‍</strong></li><li><strong>Office:</strong> we value face-to-face collaboration. We are flexible we expect you to spend a portion (2-3 days) of our time in the office near Buckingham Palace (with an exceptional sandwich shop and pub just round the corner and yes - our very own ping pong table).</li></ul><p>Check out our extensive list of values, benefits and team at <a href=""https://adfin.com/careers"">adfin.com/careers</a></p>",careers@adfin.com,
Tech lead,tech-lead-iasi,"Iasi, Romania",Full Time,,"We are looking for a Technical lead (Backend/Full-stack) to develop high-performance, scalable agentic financial solutions that simplify business payments. You'll take ownership of critical product features, lead projects and squads, collaborate cross-functionally, and build innovative fintech solutions in a fast-growing startup backed by top investors.","<p>We're looking for someone to:<br></p><ul><li>Architect, build, delivery and operate new capabilities and enhancements</li><li>Lead cross-functional squads engaged to deliver the project on time, at a very high level of quality</li><li>Own a set of critical modukes in Adfin, such as Agentic workflows, Payments, Integrations or other areas.</li><li>Ensure great customer experience by taking the on-call shift rotation (usually 1 week every 2 months)</li><li>Work in a fast paced environment and grow your skills (tech and soft) super fast, every week</li><li>Understand how a business operates by collaborating closely with each function in the organisation, such as product, design, sales, support, marketing</li></ul>","<p>Our team is our superpower and we hire only the very best. There is no right or wrong candidate, but from our experience you are likely to have:</p><ul><li><strong>10+ years</strong> of experience in backend development (<strong>Java</strong>) at a tech-forward, product-driven company</li><li><strong>Great software design skills</strong>. Amazing at designing the most high performant, scalable and maintainable software solutions</li><li><strong>End-to-end ownership</strong>. Ability to thrive on a high level of ambiguity, autonomy and responsibility. At Adfin we believe strongly in full ownership: from ideation, development, full, testing, releases and operations</li><li><strong>Quality first mindset</strong>, including experience in automating tests</li><li>Keen to <strong>grow and learn for the long term</strong> with a talented group of fellow fintech leaders - and be there at the beginning of the next major payments success story</li></ul>","<p>We try and move fast with hiring whilst giving you and us the chance to make a proper assessment:</p><ul><li>Initial intros to ensure this is right on both sides (30 mins)</li><li>Technical interview (2 x 1h)<br><ul><li>Problem solving mindset - live coding in your favourite programming language</li><li>Architecture - live design (build diagrams, flows) for a complex problem</li></ul></li><li>Final board interview (30 mins)</li><li>References check on both end - we reference you, you reference us</li></ul><p>We always give feedback and try to be as respectful of your time as possible.</p>","<ul><li><strong>Competitive salary:</strong> we pay what it takes to get the best people, but of course at first you can probably earn more in a corporate (but you’ll learn 5% as much and have 1% as much fun!).</li><li>‍<strong>Equity:</strong> everyone at Adfin has meaningful equity, and on terms which are generally more favourable than most startups, which we can discuss with you.<strong>‍</strong></li><li><strong>Office:</strong> we value face-to-face collaboration. We are flexible we expect you to spend a portion (1-2 days) of our time in the office near Buckingham Palace (with an exceptional sandwich shop and pub just round the corner and yes - our very own ping pong table).</li></ul><p>Check out our extensive list of values, benefits and team at <a href=""https://adfin.com/careers"">adfin.com/careers</a>.</p>",careers@adfin.com,
Tech lead / Senior Software Engineer (Backend / Full-stack),senior-software-engineer-backend-london-uioci,"London, UK",Full Time,,"We are looking for a Technical lead or Senior Software Engineer (Backend/Full-stack) to develop high-performance, scalable agentic financial solutions that simplify business payments. You'll take ownership of critical product features, lead projects and squads, collaborate cross-functionally, and build innovative fintech solutions in a fast-growing startup backed by top investors.","<p>We're looking for someone to:<br></p><ul><li>Architect, build, delivery and operate new capabilities and enhancements</li><li>Lead cross-functional squads engaged to deliver the project on time, at a very high level of quality</li><li>Own a set of critical modukes in Adfin, such as Agentic workflows, Payments, Integrations or other areas.</li><li>Ensure great customer experience by taking the on-call shift rotation (usually 1 week every 2 months)</li><li>Work in a fast paced environment and grow your skills (tech and soft) super fast, every week</li><li>Understand how a business operates by collaborating closely with each function in the organisation, such as product, design, sales, support, marketing</li></ul>","<p>Our team is our superpower and we hire only the very best. There is no right or wrong candidate, but from our experience you are likely to have:</p><ul><li><strong>8+ years</strong> of experience in backend development (<strong>Java</strong>) at a tech-forward, product-driven company</li><li><strong>Great software design skills</strong>. Amazing at designing the most high performant, scalable and maintainable software solutions</li><li><strong>End-to-end ownership</strong>. Ability to thrive on a high level of ambiguity, autonomy and responsibility. At Adfin we believe strongly in full ownership: from ideation, development, full, testing, releases and operations</li><li><strong>Quality first mindset</strong>, including experience in automating tests</li><li>Keen to <strong>grow and learn for the long term</strong> with a talented group of fellow fintech leaders - and be there at the beginning of the next major payments success story</li></ul><p>‍</p>","<p>We try and move fast with hiring whilst giving you and us the chance to make a proper assessment:</p><ul><li>Initial intros to ensure this is right on both sides (30 mins)</li><li>Technical interview (2 x 1h)<br><ul><li>Problem solving mindset - live coding in your favourite programming language</li><li>Architecture - live design (build diagrams, flows) for a complex problem</li></ul></li><li>Final board interview (30 mins)</li><li>References check on both end - we reference you, you reference us</li></ul><p>We always give feedback and try to be as respectful of your time as possible.</p><p>‍</p>","<ul><li><strong>Competitive salary:</strong> we pay what it takes to get the best people, but of course at first you can probably earn more in a corporate (but you’ll learn 5% as much and have 1% as much fun!).</li><li>‍<strong>Equity:</strong> everyone at Adfin has meaningful equity, and on terms which are generally more favourable than most startups, which we can discuss with you.<strong>‍</strong></li><li><strong>Office:</strong> we value face-to-face collaboration. We are flexible we expect you to spend a portion (2-3 days) of our time in the office near Buckingham Palace (with an exceptional sandwich shop and pub just round the corner and yes - our very own ping pong table).</li></ul><p>Check out our extensive list of values, benefits and team at <a href=""https://adfin.com/careers"">adfin.com/careers</a>.</p><p>‍</p>",careers@adfin.com,
Software Engineer (Backend / Full-stack),software-engineer-backend-full-stack,"Amsterdam, Netherlands",Full Time,In Office,"We are looking for a Software Engineer (Backend/Full-stack) to develop scalable, high-performance financial solutions that streamline business payments. You'll own critical product capabilities, collaborate cross-functionally, and deliver high-quality software in a fast-paced fintech startup backed by top investors.","<p>We're looking for someone to:<br></p><ul><li>Design, build, delivery and operate new capabilities and enhancements</li><li>Be part of cross-functional squads engaged to deliver the project on time, at a very high level of quality</li><li>Own a set of critical modukes in Adfin, such as Agentic workflows, Payments, Integrations or other areas.</li><li>Ensure great customer experience by taking the on-call shift rotation (usually 1 week every 2 months)</li><li>Work in a fast paced environment and grow your skills (tech and soft) super fast, every week</li><li>Understand how a business operates by collaborating closely with each function in the organisation, such as product, design, sales, support, marketing</li></ul>","<p>Our team is our superpower and we hire only the very best. There is no right or wrong candidate, but from our experience you are likely to have:</p><ul><li><strong>5+ years</strong> of experience in backend development (<strong>Java</strong>) at a tech-forward, product-driven company</li><li><strong>Great software design skills</strong>. Amazing at designing the most high performant, scalable and maintainable software solutions</li><li><strong>End-to-end ownership</strong>. Ability to thrive on a high level of ambiguity, autonomy and responsibility. At Adfin we believe strongly in full ownership: from ideation, development, full, testing, releases and operations</li><li><strong>Quality first mindset</strong>, including experience in automating tests</li><li>Keen to <strong>grow and learn for the long term</strong> with a talented group of fellow fintech leaders - and be there at the beginning of the next major payments success story</li></ul>","<p>We try and move fast with hiring whilst giving you and us the chance to make a proper assessment:</p><ul><li>Initial intros to ensure this is right on both sides (30 mins)</li><li>Technical interview (2 x 1h)<br><ul><li>Problem solving mindset - live coding in your favourite programming language</li><li>Architecture - live design (build diagrams, flows) for a complex problem</li></ul></li><li>Final board interview (30 mins)</li><li>References check on both end - we reference you, you reference us</li></ul><p>We always give feedback and try to be as respectful of your time as possible.</p>","<ul><li><strong>Competitive salary:</strong> we pay what it takes to get the best people, but of course at first you can probably earn more in a corporate (but you’ll learn 5% as much and have 1% as much fun!).</li><li>‍<strong>Equity:</strong> everyone at Adfin has meaningful equity, and on terms which are generally more favourable than most startups, which we can discuss with you.<strong>‍</strong></li><li><strong>Office:</strong> we value face-to-face collaboration. We are flexible but we expect you to spend most of our time in our office at Capital C in Amsterdam</li></ul><p>Check out our extensive list of values, benefits and team at <a href=""https://adfin.com/careers"">adfin.com/careers</a>.</p>",careers@adfin.com,https://adfin.com/open-positions/software-engineer-backend-full-stack
