Collection,Slug,Name,Set Draft,Set Archived
Blogs,adfin-and-engager-app-unveil-game-changing-integration-at-accountex-north-2024,Adfin and Engager.app unveil game-changing integration at Ac,true,false
Blogs,adfin-vs-gocardless,Adfin vs GoCardless: What’s the best payment platform for SM,true,false
Blogs,adfin-xero-integration,Adfin’s integration with Xero saves on average 3 hours per w,true,false
Blogs,automated-payment-chasing-vs-collection-agencies,Automated payment chasing vs. collection agencies explained,true,false
Blogs,direct-debit-vs-card-processors-key-differences,Direct debit vs. card processors: key differences explained,true,false
Blogs,direct-debit-vs-recurring-payments-differences,Direct debit vs. recurring payments: key differences explain,true,false
Blogs,multi-channel-payment-chasing-guide,Enhancing collections: multi-channel payment chasing guide,true,false
Blogs,growing-in-guernsey-how-tim-built-tcs-and-beyond,Growing in Guernsey: how Tim built TCS and beyond,true,false
Blogs,how-adfin-beats-over-payment-solutions-on-cost-and-value,How Adfin beats other payment solutions on cost and value,true,false
Blogs,how-to-talk-to-your-clients-about-direct-debit,How to talk to your clients about Direct Debit (and help the,true,false
Blogs,introducing-our-new-product-prompt-payment-discounts,Introducing our latest feature: Prompt Payment Discounts,true,false
Blogs,meet-lucian-tuca,"Meet Lucian Tuca, our new Software Engineer",true,true
Blogs,spotlight-week-meet-stefan-mihalache-our-new-software-engineer,Meet Stefan Mihalache our new Software Engineer,true,false
Blogs,meet-stella-kaskaveli,"Meet Stella Kaskaveli, our new SMB Lead",true,true
Blogs,reducing-direct-debit-failures,Navigating changes in direct debit: reducing failures,true,false
Blogs,how-adfin-consolidates-all-your-payment-tools-in-one-place,Payments chaos to payments calm: how Adfin puts all your pay,true,false
Blogs,say-hello-to-adfin-bank-transfer-a-smarter-way-to-get-paid,Say hello to Adfin bank transfer: a smarter way to get paid ,true,false
Blogs,automating-credit-control-processes,Strategies for automating credit control processes,true,false
Changelogs,copy-the-link-to-a-direct-debit-mandate,Copy the link to a direct debit mandate ,true,false
Changelogs,create-invoices-on-adfin,Create invoices on Adfin,true,false
Changelogs,enhanced-invoice-creation-feature,Enhanced Invoice Creation Feature (AI),true,false
Changelogs,transactionsdashboard,Our new transactions dashboard is here!,true,false
Changelogs,customer-log-to-view-direct-debit-mandate-activity-and-updates,"View customer updates, direct debit mandate requests and add",true,false
Open Positions,devops-engineer,DevOps Engineer,true,false
Open Positions,founders-associate,Founders Associate,true,false
Open Positions,marketing-executive,Marketing Executive,true,false
Open Positions,technical-lead-iasi,Tech lead,true,false
Open Positions,tech-lead-iasi,Tech lead,true,false
Open Positions,senior-software-engineer-backend-london-uioci,Tech lead / Senior Software Engineer (Backend / Full-stack),true,false
Events,lunch-and-learn-adfin-x-fineo,Lunch and Learn: Adfin x Fineo,true,false
Events,adfin-x-freshpay-adfin-tea-party-2026,Adfin x FreshPay | Adfin Tea Party 2026,true,false
Events,adfin-x-socket-adfin-tea-party-2026,Adfin x Socket | Adfin Tea Party 2026,true,false
Events,adfin-x-tmf-adfin-tea-party-2026,Adfin x TMF | Adfin Tea Party 2026,true,false
Events,xerocon-breakfast-adfin-x-socket,Xerocon Breakfast - Adfin x Socket,true,false
Events,adfin-x-bev-flanagan-adfin-tea-party-2026,Adfin x Bev Flanagan | Adfin Tea Party 2026,true,false
Events,adfin-x-actionstep-adfin-tea-party-2026,Adfin x Actionstep | Adfin Tea Party 2026,true,false
Events,final-stop-adfin-tea-party-2026,Final Stop | Adfin Tea Party 2026,true,false
