Value,Slug,Label
10%,gascoynes-accountancy-reduction-in-the-debtors-over-12-month,Reduction in the debtors over 12 months
8%,gascoynes-accountancy-turnover-growth-over-the-same-period,Turnover growth over the same period
39%,gascoynes-accountancy-reduction-in-late-payers,Reduction in late payers
73%,jumpstart-fall-in-average-days-late-from-23-7-to-6-4,"Fall in average days late, from 23.7 to 6.4"
£50k,jumpstart-recovered-from-invoices-already-overdue-at-onboard,Recovered from invoices already overdue at onboarding
4x,jumpstart-invoice-volume-since-adoption-with-no-increase-in-,"Invoice volume since adoption, with no increase in chasing time"
58%,helpbox-uk-reduction-in-payment-collection-costs,Reduction in payment collection costs
4 > 1,helpbox-uk-tools-consolidated-into-a-single-platform,Tools consolidated into a single platform
3x,helpbox-uk-increase-in-invoices-paid-on-time,Increase in invoices paid on time
45%,pillow-may-invoices-now-paid-on-the-same-day,Invoices now paid on the same day
27%,pillow-may-invoices-paid-within-the-next-2-days,Invoices paid within the next 2 days
6x,pillow-may-lower-overdue-invoice-rate-than-the-uk-average,Lower overdue invoice rate than the UK average.
"2,500",nuvo-accountancy-direct-debit-mandates-migrated-in-nuvo-s-fi,Direct debit mandates migrated in Nuvo's first Adfin rollout
45,nuvo-accountancy-average-group-debtor-days-against-a-66-day-,"Average group debtor days, against a 66-day industry benchmark"
24,nuvo-accountancy-average-work-in-progress-days-against-a-34-,"Average work-in-progress days, against a 34-day industry benchmark"
