published_path,title,slug,page_type,destination,draft,archived,seo_title,seo_description,og_title,og_description,og_title_copies_seo,og_description_copies_seo,og_image_url,json_ld,page_id,collection_id
/,Home,,Static,Stays static,false,false,Adfin | Just Get Paid,"The only platform to automate payment collection end-to-end. Eliminate manual work, reduce late payments and accelerate cash flow.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,"SoftwareApplication - correct, port verbatim",683706706cc86cf3e7cb32ad,
/401,Password,401,System,"System page - rebuild, no content port",false,false,Adfin | Protected page,,,,true,true,,,663608d6085a91363816e10c,
/404,404,404,System,"System page - rebuild, no content port",false,false,Adfin | Not Found,,,,true,true,,,663608d6085a91363816e10d,
/abc,Partner Program,abc,Static,REVIEW - unclassified,true,false,Adfin | ABC - Accountants and Bookkeepers Club,Learn more about our club exclusively for Accountants and Bookkeepers to help them get the best out of Adfin.,,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6840567bce2f9c2e933615f1_opengraphs.png,,66cfa6e7707e0896dd38333a,
/abc-club,Join the ABC Club,abc-club,Static,REVIEW - unclassified,false,false,The ABC Club | Join Adfin's Partner Program for Accountants & Bookkeepers,"Refer businesses to Adfin and enjoy exclusive discounts, special perks, and access to the tools to fully manage credit control.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,698db5c86d550496da1766cc,
/abc-club-terms-and-conditions,[Legal] ABC Club Terms,abc-club-terms-and-conditions,Static,CMS item -> Legal,false,false,Adfin ABC Club | Terms and Conditions,,,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,6967d824c99ec0b76986c939,
/about,[Resources] About,about,Static,Stays static,false,false,Adfin | About,"Adfin is the first platform designed from the ground up for the specific demands of invoice payments. We give businesses the tools to get paid faster and at lower cost, across all the payment methods and communication channels that matter.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,66392a5bf3327963651a4dee,
/accept-payments,[Product] Accept payments,accept-payments,Static,Stays static,false,false,Adfin | Accept payments,"Just get paid: all the payment methods you need in one place and no need to chase. Next-generation direct debit, card payments, open banking, and bank transfers. Integrated with intelligent credit control, powered by AI.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,683a2038c2da1125ab8cfe3f,
/accountant-referral-corey,*FIX [Commercial] Accountant Referral Corey,accountant-referral-corey,Static,REVIEW - unclassified,true,false,Accountant Referral Corey,"Cheaper direct debit, multiple payment methods, and AI-powered credit control—see why hundreds of accounts switch to Adfin every month.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,69c28de1d3a69733d683a0b4,
/accountants,Accountants & bookkeepers,accountants,Static,CMS item -> Customers,false,false,Adfin | Accountants & Bookkeepers ,"Sort payments. Deliver more than numbers. The only platform that fully automates getting paid: for your practice, and as a new service for your clients.",,,true,true,https://s3.amazonaws.com/webflow-prod-assets/663608d6085a91363816e0cb/6a0adb5ed62724fd26b06cb0_Open%20Graph%201.png,,66c6a8e87a790606b51e05e2,
