Case Study,Slug,Row,Before Title,Before Text,After Title,After Text
Gascoynes,gascoynes-accountancy,1,No centralised system,"PayPal, card over the phone, QuickBooks Payments and Satago for chasing, all running separately.",One platform for everything,"Payment links, Direct Debit and chasing, all managed centrally."
Gascoynes,gascoynes-accountancy,2,Friction at the point of payment,Payment links buried in statement text.,One-tap payments,Clients pay by Apple Pay or card from a direct payment link.
Gascoynes,gascoynes-accountancy,3,"Manual, ineffective chasing","Invoice reminders sent by hand, with low response rates.",Automated chasing,"Reminders sent automatically in Gascoynes’ voice, ~5 client responses a day."
Gascoynes,gascoynes-accountancy,4,No visibility,No way to see what was processing in QuickBooks.,Real-time visibility,"Live payment status, with automatic reconciliation into QuickBooks."
Gascoynes,gascoynes-accountancy,5,Resource drain,More people pulled into chasing as invoice volume grew.,A leaner credit control function,"Fewer people chasing, no need to grow the team as the firm grows."
Jumpstart,jumpstart,1,Chasing emails with no invoice attached,"The reminder went out through Zapier, but QuickBooks would not attach the invoice to it. To pay, a client had to go back and find the original email.",Every chaser has a payment link,The client pays from the reminder they are already reading.
Jumpstart,jumpstart,2,No way to tell who had paid,Money landed in the bank feed under the payment provider's name. Maria then had to work out which client it had come from.,Payments match on arrival,"Around five hours a month of working that out, down to roughly 20 minutes."
Jumpstart,jumpstart,3,Chasing depended on someone remembering,"Working out what was outstanding meant going back through the inbox, invoice by invoice.",Sequences run from the due date,"Set once, applied to every invoice, by email and WhatsApp."
Jumpstart,jumpstart,4,Direct debit rejected for one-off fees,Direct debit assumes a repeat relationship. A recruitment fee is a single payment.,"One off payments, every method.",No mandate needed. Most payments now arrive through Adfin rather than being reconciled after the fact.
Helpbox,helpbox-uk,1,No centralised system,"Invoicing and payments spread across four separate providers, with manual workarounds between them.",One platform for everything,"Payment links, Direct Debit and chasing, all managed centrally."
Helpbox,helpbox-uk,2,Low payment success rates,"A significant share of invoices unpaid on time, driving debtor days up.",Faster payments,"64% of invoices paid before the due date, three times as many as before."
Helpbox,helpbox-uk,3,"Manual, ineffective chasing",The team managing invoices and chasing payments by hand.,Automated chasing,Built-in reminders replace manual follow-up.
Helpbox,helpbox-uk,4,Rising software spend,Several providers pushing up the cost of getting paid.,Lower costs,Software spend down 58% after retiring separate tools.
Pillow May,pillow-may,1,No centralised system,"Direct debit provider, accounting software, manual email reminders - disconnected",One platform for everything,"Payment links, Direct Debit and chasing, all managed centrally."
Pillow May,pillow-may,2,Friction at the point of payment,"Payment links buried in emails, or statement text.",One-tap payments,Clients pay by Apple Pay or card from a direct payment link.
Pillow May,pillow-may,3,"Manual, ineffective chasing","Invoice reminders sent either in bulk and landed in spam, or sent manually to see action",Automated chasing,"Personalised email reminders sent in the company's tone of voice using the right channel, at the best time."
Nuvo,nuvo-accountancy,1,No standard way to get paid,"Every acquisition arrived with its own tools, some still on cheques and cash.",One platform for every acquisition,"Payment links, Direct Debit and chasing, standardised from day one."
Nuvo,nuvo-accountancy,2,20 years of mandate history to migrate,"Real risk of mismatched customer records moving ~2,500 mandates between providers.","Automatic matching, built in","~2,500 mandates migrated, with every payment matched to the right customer."
Nuvo,nuvo-accountancy,3,Credit control split three ways,"Invoice reminders sent by hand, with low response rates.",Moving toward one view of debtors,"Consolidating credit control onto Adfin, working alongside Xero."
Nuvo,nuvo-accountancy,4,No easy way to pay without a mandate,Clients who didn't want direct debit had no simple alternative.,"Card, Apple Pay and Google Pay",Sit alongside Direct Debit for clients who'd rather not set one up.
